#OTU ID	Top2	Fine2	Top3	Fine3	Top4	Fine4
OTU_347	0.0	0.0	0.0	0.0	0.0	0.0
OTU_348	5.0	2.0	1.0	0.0	5.0	1.0
OTU_349	0.0	7.0	0.0	1.0	0.0	0.0
OTU_350	2.0	3.0	3.0	2.0	1.0	0.0
OTU_351	0.0	2.0	0.0	1.0	4.0	0.0
OTU_352	0.0	0.0	2.0	0.0	0.0	0.0
OTU_353	0.0	2.0	0.0	10.0	1.0	31.0
OTU_354	2.0	1.0	1.0	6.0	0.0	1.0
OTU_355	0.0	1.0	1.0	0.0	0.0	0.0
OTU_356	10.0	0.0	0.0	0.0	0.0	0.0
OTU_357	0.0	0.0	0.0	0.0	0.0	0.0
OTU_358	0.0	3.0	0.0	3.0	1.0	0.0
OTU_359	0.0	3.0	1.0	0.0	2.0	2.0
OTU_360	0.0	1.0	0.0	3.0	5.0	0.0
OTU_361	0.0	4.0	0.0	2.0	0.0	0.0
OTU_362	6.0	1.0	3.0	10.0	1.0	0.0
OTU_363	3.0	0.0	0.0	0.0	9.0	0.0
OTU_364	2.0	1.0	0.0	0.0	3.0	0.0
OTU_365	9.0	89.0	43.0	38.0	169.0	16.0
OTU_366	1.0	7.0	0.0	0.0	0.0	0.0
OTU_367	7.0	1.0	1.0	0.0	0.0	0.0
OTU_368	1.0	4.0	0.0	0.0	1.0	0.0
OTU_369	4.0	17.0	8.0	16.0	4.0	1.0
OTU_370	4.0	9.0	0.0	0.0	0.0	0.0
OTU_371	1.0	3.0	0.0	3.0	7.0	0.0
OTU_372	1.0	0.0	0.0	5.0	0.0	0.0
OTU_374	0.0	4.0	0.0	0.0	1.0	0.0
OTU_375	0.0	0.0	11.0	0.0	0.0	0.0
OTU_376	2.0	0.0	5.0	2.0	1.0	0.0
OTU_377	239.0	65.0	74.0	46.0	9.0	10.0
OTU_378	0.0	1.0	0.0	2.0	10.0	0.0
OTU_379	0.0	0.0	4.0	1.0	1.0	1.0
OTU_380	2.0	0.0	0.0	0.0	3.0	0.0
OTU_381	0.0	0.0	1.0	4.0	0.0	0.0
OTU_382	0.0	7.0	2.0	0.0	2.0	0.0
OTU_383	12.0	5.0	2.0	0.0	1.0	0.0
OTU_384	5.0	7.0	0.0	0.0	2.0	0.0
OTU_385	0.0	0.0	0.0	0.0	0.0	1.0
OTU_386	0.0	3.0	0.0	0.0	0.0	2.0
OTU_387	0.0	0.0	0.0	7.0	1.0	0.0
OTU_389	0.0	0.0	0.0	0.0	0.0	0.0
OTU_390	0.0	5.0	0.0	2.0	6.0	1.0
OTU_391	0.0	9.0	0.0	0.0	0.0	1.0
OTU_392	0.0	0.0	0.0	1.0	7.0	0.0
OTU_393	0.0	6.0	0.0	0.0	0.0	0.0
OTU_394	7.0	3.0	0.0	0.0	0.0	0.0
OTU_395	6.0	4.0	5.0	2.0	2.0	0.0
OTU_396	5.0	63.0	58.0	14.0	258.0	14.0
OTU_397	0.0	0.0	0.0	6.0	0.0	0.0
OTU_398	9.0	5.0	1.0	1.0	7.0	0.0
OTU_399	1.0	0.0	0.0	0.0	0.0	0.0
OTU_400	0.0	4.0	0.0	4.0	0.0	0.0
OTU_401	0.0	6.0	0.0	0.0	0.0	0.0
OTU_402	1.0	1.0	3.0	5.0	0.0	0.0
OTU_403	0.0	5.0	1.0	0.0	0.0	0.0
OTU_404	1.0	7.0	0.0	4.0	0.0	0.0
OTU_405	0.0	7.0	0.0	3.0	0.0	1.0
OTU_406	133.0	31.0	43.0	35.0	57.0	1.0
OTU_407	0.0	1.0	0.0	0.0	0.0	0.0
OTU_408	2.0	3.0	4.0	9.0	0.0	0.0
OTU_409	1.0	15.0	2.0	5.0	5.0	0.0
OTU_410	11.0	2.0	16.0	11.0	0.0	0.0
OTU_411	2.0	42.0	2.0	5.0	1.0	1.0
OTU_412	0.0	3.0	0.0	0.0	1.0	0.0
OTU_413	0.0	3.0	0.0	1.0	0.0	0.0
OTU_414	34.0	11.0	2.0	3.0	16.0	1.0
OTU_415	0.0	4.0	0.0	0.0	0.0	1.0
OTU_416	0.0	0.0	0.0	0.0	0.0	0.0
OTU_417	0.0	1.0	4.0	8.0	0.0	0.0
OTU_418	0.0	1.0	6.0	3.0	4.0	0.0
OTU_419	8.0	7.0	7.0	4.0	15.0	0.0
OTU_420	0.0	0.0	0.0	1.0	3.0	0.0
OTU_421	0.0	0.0	0.0	0.0	0.0	0.0
OTU_422	0.0	1.0	0.0	0.0	0.0	2.0
OTU_423	0.0	4.0	0.0	0.0	0.0	0.0
OTU_424	0.0	2.0	6.0	6.0	8.0	0.0
OTU_425	0.0	3.0	0.0	1.0	1.0	1.0
OTU_426	2.0	0.0	2.0	1.0	0.0	0.0
OTU_427	1.0	1.0	0.0	2.0	8.0	0.0
OTU_428	3.0	0.0	0.0	1.0	4.0	0.0
OTU_429	1.0	3.0	0.0	1.0	0.0	0.0
OTU_430	0.0	3.0	2.0	5.0	1.0	2.0
OTU_431	0.0	4.0	0.0	1.0	0.0	0.0
OTU_432	145.0	24.0	25.0	32.0	151.0	19.0
OTU_433	2.0	0.0	0.0	0.0	0.0	0.0
OTU_434	0.0	4.0	3.0	0.0	1.0	0.0
OTU_435	4.0	99.0	16.0	35.0	5.0	40.0
OTU_436	0.0	0.0	4.0	2.0	3.0	0.0
OTU_437	3.0	0.0	0.0	0.0	0.0	0.0
OTU_438	0.0	10.0	0.0	4.0	1.0	1.0
OTU_439	7.0	117.0	9.0	146.0	6.0	12.0
OTU_440	0.0	0.0	0.0	0.0	0.0	1.0
OTU_441	1.0	3.0	0.0	1.0	0.0	0.0
OTU_442	0.0	5.0	1.0	0.0	0.0	0.0
OTU_443	0.0	1.0	0.0	0.0	5.0	0.0
OTU_444	0.0	0.0	0.0	0.0	0.0	0.0
OTU_445	2.0	0.0	0.0	2.0	0.0	0.0
OTU_446	0.0	3.0	1.0	0.0	0.0	0.0
OTU_447	0.0	3.0	0.0	0.0	1.0	0.0
OTU_448	37.0	13.0	239.0	6.0	2.0	2.0
OTU_449	1.0	1.0	0.0	1.0	0.0	0.0
OTU_450	0.0	4.0	0.0	0.0	1.0	0.0
OTU_451	1.0	2.0	0.0	0.0	0.0	0.0
OTU_452	0.0	0.0	0.0	2.0	0.0	0.0
OTU_453	0.0	3.0	0.0	0.0	0.0	0.0
OTU_454	1.0	2.0	0.0	0.0	0.0	0.0
OTU_455	0.0	0.0	1.0	0.0	0.0	0.0
OTU_456	0.0	2.0	2.0	0.0	0.0	2.0
OTU_457	0.0	0.0	0.0	0.0	0.0	0.0
OTU_458	0.0	4.0	0.0	0.0	0.0	0.0
OTU_459	0.0	3.0	1.0	1.0	2.0	0.0
OTU_460	1.0	2.0	1.0	3.0	0.0	0.0
OTU_461	0.0	0.0	0.0	0.0	0.0	0.0
OTU_462	45.0	37.0	36.0	149.0	86.0	7.0
OTU_463	0.0	5.0	1.0	0.0	0.0	0.0
OTU_465	2.0	10.0	57.0	5.0	44.0	1.0
OTU_466	0.0	10.0	0.0	1.0	0.0	0.0
